x,y,z
346,285,287
347,285,287
348,285,287
349,285,287
350,285,287
351,285,287
352,285,287
353,285,287
341,286,287
342,286,287
343,286,287
344,286,287
345,286,287
346,286,287
347,286,287
348,286,287
349,286,287
350,286,287
351,286,287
352,286,287
353,286,287
354,286,287
342,287,287
343,287,287
344,287,287
345,287,287
346,287,287
347,287,287
348,287,287
349,287,287
350,287,287
351,287,287
352,287,287
353,287,287
354,287,287
342,288,287
343,288,287
344,288,287
345,288,287
346,288,287
347,288,287
348,288,287
349,288,287
350,288,287
351,288,287
352,288,287
353,288,287
354,288,287
342,289,287
343,289,287
344,289,287
345,289,287
346,289,287
347,289,287
348,289,287
349,289,287
350,289,287
351,289,287
352,289,287
353,289,287
354,289,287
343,290,287
344,290,287
345,290,287
346,290,287
347,290,287
348,290,287
349,290,287
350,290,287
351,290,287
352,290,287
353,290,287
354,290,287
344,291,287
345,291,287
346,291,287
347,291,287
348,291,287
349,291,287
350,291,287
351,291,287
352,291,287
353,291,287
354,291,287
345,292,287
346,292,287
347,292,287
348,292,287
349,292,287
350,292,287
351,292,287
352,292,287
353,292,287
354,292,287
346,293,287
347,293,287
348,293,287
349,293,287
350,293,287
351,293,287
352,293,287
353,293,287
347,294,287
348,294,287
349,294,287
350,294,287
351,294,287
352,294,287
344,280,288
345,280,288
346,280,288
347,280,288
348,280,288
342,281,288
343,281,288
344,281,288
345,281,288
346,281,288
347,281,288
348,281,288
349,281,288
350,281,288
342,282,288
343,282,288
344,282,288
345,282,288
346,282,288
347,282,288
348,282,288
349,282,288
350,282,288
351,282,288
342,283,288
343,283,288
344,283,288
345,283,288
346,283,288
347,283,288
348,283,288
349,283,288
350,283,288
351,283,288
352,283,288
342,284,288
343,284,288
344,284,288
345,284,288
346,284,288
347,284,288
348,284,288
349,284,288
350,284,288
351,284,288
352,284,288
353,284,288
342,285,288
343,285,288
344,285,288
345,285,288
346,285,288
347,285,288
348,285,288
349,285,288
350,285,288
351,285,288
352,285,288
353,285,288
354,285,288
342,286,288
343,286,288
344,286,288
345,286,288
346,286,288
347,286,288
348,286,288
349,286,288
350,286,288
351,286,288
352,286,288
353,286,288
354,286,288
342,287,288
343,287,288
344,287,288
345,287,288
346,287,288
347,287,288
348,287,288
349,287,288
350,287,288
351,287,288
352,287,288
353,287,288
354,287,288
355,287,288
342,288,288
343,288,288
344,288,288
345,288,288
346,288,288
347,288,288
348,288,288
349,288,288
350,288,288
351,288,288
352,288,288
353,288,288
354,288,288
355,288,288
343,289,288
344,289,288
345,289,288
346,289,288
347,289,288
348,289,288
349,289,288
350,289,288
351,289,288
352,289,288
353,289,288
354,289,288
355,289,288
343,290,288
344,290,288
345,290,288
346,290,288
347,290,288
348,290,288
349,290,288
350,290,288
351,290,288
352,290,288
353,290,288
354,290,288
355,290,288
344,291,288
345,291,288
346,291,288
347,291,288
348,291,288
349,291,288
350,291,288
351,291,288
352,291,288
353,291,288
354,291,288
355,291,288
345,292,288
346,292,288
347,292,288
348,292,288
349,292,288
350,292,288
351,292,288
352,292,288
353,292,288
354,292,288
355,292,288
346,293,288
347,293,288
348,293,288
349,293,288
350,293,288
351,293,288
352,293,288
353,293,288
354,293,288
347,294,288
348,294,288
349,294,288
350,294,288
351,294,288
352,294,288
353,294,288
354,294,288
349,295,288
350,295,288
351,295,288
352,295,288
353,295,288
345,280,289
346,280,289
347,280,289
348,280,289
344,281,289
345,281,289
346,281,289
347,281,289
348,281,289
349,281,289
350,281,289
343,282,289
344,282,289
345,282,289
346,282,289
347,282,289
348,282,289
349,282,289
350,282,289
351,282,289
343,283,289
344,283,289
345,283,289
346,283,289
347,283,289
348,283,289
349,283,289
350,283,289
351,283,289
352,283,289
342,284,289
343,284,289
344,284,289
345,284,289
346,284,289
347,284,289
348,284,289
349,284,289
350,284,289
351,284,289
352,284,289
353,284,289
342,285,289
343,285,289
344,285,289
345,285,289
346,285,289
347,285,289
348,285,289
349,285,289
350,285,289
351,285,289
352,285,289
353,285,289
354,285,289
342,286,289
343,286,289
344,286,289
345,286,289
346,286,289
347,286,289
348,286,289
349,286,289
350,286,289
351,286,289
352,286,289
353,286,289
354,286,289
342,287,289
343,287,289
344,287,289
345,287,289
346,287,289
347,287,289
348,287,289
349,287,289
350,287,289
351,287,289
352,287,289
353,287,289
354,287,289
355,287,289
343,288,289
344,288,289
345,288,289
346,288,289
347,288,289
348,288,289
349,288,289
350,288,289
351,288,289
352,288,289
353,288,289
354,288,289
355,288,289
343,289,289
344,289,289
345,289,289
346,289,289
347,289,289
348,289,289
349,289,289
350,289,289
351,289,289
352,289,289
353,289,289
354,289,289
355,289,289
356,289,289
344,290,289
345,290,289
346,290,289
347,290,289
348,290,289
349,290,289
350,290,289
351,290,289
352,290,289
353,290,289
354,290,289
355,290,289
356,290,289
344,291,289
345,291,289
346,291,289
347,291,289
348,291,289
349,291,289
350,291,289
351,291,289
352,291,289
353,291,289
354,291,289
355,291,289
356,291,289
345,292,289
346,292,289
347,292,289
348,292,289
349,292,289
350,292,289
351,292,289
352,292,289
353,292,289
354,292,289
355,292,289
356,292,289
346,293,289
347,293,289
348,293,289
349,293,289
350,293,289
351,293,289
352,293,289
353,293,289
354,293,289
355,293,289
347,294,289
348,294,289
349,294,289
350,294,289
351,294,289
352,294,289
353,294,289
354,294,289
355,294,289
348,295,289
349,295,289
350,295,289
351,295,289
352,295,289
353,295,289
354,295,289
350,296,289
351,296,289
352,296,289
353,296,289
345,281,290
346,281,290
347,281,290
348,281,290
349,281,290
344,282,290
345,282,290
346,282,290
347,282,290
348,282,290
349,282,290
350,282,290
351,282,290
344,283,290
345,283,290
346,283,290
347,283,290
348,283,290
349,283,290
350,283,290
351,283,290
352,283,290
343,284,290
344,284,290
345,284,290
346,284,290
347,284,290
348,284,290
349,284,290
350,284,290
351,284,290
352,284,290
353,284,290
343,285,290
344,285,290
345,285,290
346,285,290
347,285,290
348,285,290
349,285,290
350,285,290
351,285,290
352,285,290
353,285,290
354,285,290
343,286,290
344,286,290
345,286,290
346,286,290
347,286,290
348,286,290
349,286,290
350,286,290
351,286,290
352,286,290
353,286,290
354,286,290
355,286,290
343,287,290
344,287,290
345,287,290
346,287,290
347,287,290
348,287,290
349,287,290
350,287,290
351,287,290
352,287,290
