Time Stamp,Region ID,Filtered,RSS,CL1,CL2,CL3,Red Info,GSS,RP1H,RP1L,EDR,Green R^2,Green Info,VSS,RP2H,RP2L,Violet Spare1,Violet R^2,Violet Info,Bead Info
955701656,96,0,13330.25391,2410.30078,13030.89844,6491.12109,0,1010.67578,9.08789,8.71484,0,0,0,3673.75,34.00781,28.92969,0,0,0,0
955712309,71,0,10302.22266,55.25,4726.07813,2023.95703,0,1617.17578,24653.99609,175619.5938,1146518.125,0,1,3042.33203,4.16992,6.24414,0,0,0,0
955713333,22,0,9744.33984,1089.39844,167.68359,46.47266,0,1014.51563,29.99609,27.40234,24467.7207,0,0,3219.69922,160.0918,159.5625,0,0,0,0
955718925,153,0,10686.98828,67.05859,4872.76172,8908.62109,0,1344.68359,14.33008,8.75977,0,0,0,3262.97266,1799.88867,1803.70313,0,0,0,0
955721054,102,0,10751.25781,53.42578,84.88281,143.85156,0,1801.89063,23526.2207,77654.82813,523183,0,1,3403.60938,4.00195,3.9082,0,0,0,0
955722995,352,0,16880.08594,694.12891,1418.55859,2785.95703,0,929.75391,9048.66211,9093.08594,72293.21875,0,0,3025.76172,12.25586,7.09766,0,0,0,0
955729299,96,0,13036.53906,2512.22656,14175.9375,7098.51563,0,1271.08594,13.20117,10.82617,0,0,0,3553.28125,38.60938,45.46094,0,0,0,0
955747810,352,0,10425.19141,614.67188,1266.0625,2453.33594,0,1276.9375,9021.87305,9063.30273,93866.51563,0,0,3054.39453,0.00586,0,0,0,0,0
955750040,22,0,11811.83984,1297.19922,206.92969,57.32813,0,1048.39453,20.53711,27.49219,1533.06519,0,0,3910.79297,203.71484,195.58984,0,0,0,0
955751595,71,0,14257.50781,57.64063,4705.17188,2053.20703,0,921.85156,24799.93164,193298.3281,1243551.875,0,1,3281.36719,3.81055,1.57227,0,0,0,0
955753359,352,0,10261.19922,643.23047,1342.55078,2634.63281,0,1269.55078,10072.26953,10076.65039,48641.08984,0,0,3633.58984,8.96875,7.27734,0,0,0,0
955755452,374,0,12761.85547,715.42969,1791.05078,9301.85547,0,1016.32813,158.17969,154.08203,6546.18799,0,0,3826.72656,1.42578,3.45898,0,0,0,0
955759691,6,0,9182.28125,48.55469,65.00391,25.46484,0,1377.69922,4.36719,8.17578,0,0,0,2955.08203,5.03711,0,0,0,0,0
955761467,71,0,14473.14063,60.21094,4854.95703,2121.52344,0,1015.39453,25014.30469,194147,1322639.75,0,1,2885.85156,8.2207,12.71289,0,0,0,0
955762304,0,1,3570.125,0,1310.75,7478.01172,0,717.46094,95.85938,92.13477,3069.19653,0,0,1049.74609,0,0,0,0,0,0
955769120,22,0,9436.78516,1139.57422,182.48047,48.07422,0,1726.05859,35.61914,38.94727,0,0,0,3038.94141,185.95898,182.33789,0,0,0,0
955777854,102,0,12502.58594,57.91406,89.20313,145.88281,0,987.84766,23009.41406,71838.47656,460361.0625,0,1,4000.41406,6.93164,3.72852,0,0,0,0
955788603,71,0,11109.07031,51.85547,4371.375,1888.91797,0,990.45313,24510.55664,167445.5625,1103325.5,0,1,3890.30859,6.59766,14.86914,0,0,0,0
955790261,374,0,9976.36328,673.02344,1636.46094,8671.97656,0,1816.44922,163.65625,165.85156,21245.2168,0,0,3305.84375,6.98438,5.70508,0,0,0,0
955797709,378,0,10743.13672,1173.25,350.05469,353.52344,0,1828.99219,851.9668,846.91211,0,0,0,3572.91797,14852.07227,14897.89063,0,0,1,0
955805766,500,0,13071,12626.21875,7639.07031,8952.23828,0,1021.45703,19.5918,23.89844,0,0,0,4087.73047,6.24219,3.00977,0,0,0,0
955806861,81,0,10014.67188,21163.01172,5066.36719,1601.91797,0,1792.28516,54.16797,54.84961,0,0,0,3039.53125,20165.25,25461.35938,0,0,1,0
955807574,378,0,9049.65625,1002.47266,289.37891,295.98047,0,1527.22266,783.74805,783.12305,42370.85547,0,0,3236.58203,12428.63867,12464.02344,0,0,1,0
955808942,0,0,9153.6875,56.54688,5157.42188,13965.39063,0,1493.15625,31.10742,36.29688,0,0,0,2696.71484,3666.15625,3680.26953,0,0,0,0
955812117,500,0,15773.76953,12982.86719,7821.16406,9374.03516,0,1161.15234,14.0293,12.75781,3112.12231,0,0,3467.58984,9.37305,7.36719,0,0,0,0
955814135,102,0,15231.07031,59.50781,95.08984,163.21875,0,1043.82031,23322.32813,72949.35156,457797.7813,0,1,3973.83594,5.35547,0,0,0,0,0
955825939,96,0,14408.20313,2312.86719,12680.95703,6485.44531,0,1075.38281,1.86719,0,0,0,0,3430.61328,25.99805,26.72852,0,0,0,0
955849295,153,0,11199.69922,67.02734,5003.52344,9306.21484,0,1302.625,7.30273,5.03125,0,0,0,3346.52344,1580.75391,1579.13867,0,0,0,0
955853086,96,0,15099.41016,2501.86719,13908.82813,6923.1875,0,1087.72656,15.15234,12.89258,3078.39478,0,0,3658.39453,34.62695,30.68164,0,0,0,0
955876262,81,0,12566.44922,21447.73828,5031.56641,1621.34766,0,1110.19531,64.00781,65.90039,944.3681,0,0,2917.27734,18912.63672,23207.58398,0,0,1,0
955877896,352,0,13720.13281,601.81641,1233.72266,2439.25781,0,926.80469,9020.05859,9069.41211,43210.97266,0,0,2603.31641,2.83789,8.31055,0,0,0,0
955879597,96,0,15219.69141,2471.21875,13855.33984,6880.60156,0,1031.36328,7.70508,14.15039,19114.25586,0,0,3339.04688,31.42188,31.31055,0,0,0,0
955885577,71,0,13875.64063,52.82813,4312.15625,1879.69141,0,917.76563,24727.78125,182741.6563,1202545.5,0,1,2653.91016,5.60938,6.06445,0,0,0,0
955886632,96,0,14840.38281,2482.33594,13540.07031,6706.65234,0,969.89063,10.57617,13.29688,16302.61523,0,0,3284.125,25.69336,24.88672,0,0,0,0
955894568,374,0,10839.02344,741.89453,1811.89844,9346.5,0,1123.08203,154.74609,158.03516,19420.86914,0,0,3440.37891,10.18164,10.73633,0,0,0,0
955900378,102,0,16420.05078,62.32031,99.96875,168.5,0,1023.69922,23216.04102,70741.35156,466033.4063,0,1,3501.83203,4.42969,0,0,0,0,0
955902999,500,0,13326.31641,11697.08203,7086.84375,8356.12109,0,962.98828,9.17969,3.32422,0,0,0,2970.39844,2.13672,0,0,0,0,0
